Crime,Registered,Detected
Murder,8,8
Att.to.C.Murder,24,23
Dacoity,3,3
Prep.for Dacoity,1,1
Robbery,26,25
Robbery Chain Snatching,6,3
Att.to.C.Robbery,0,0
Extortion,16,9
H.B.T.Day,10,4
H.B.T.Night.,75,36
Thefts.,496,125
M.V.Thefts.,188,63
Snatching,18,9
Hurt,332,307
Riots.,41,37
Rape,80,61
Molestation,174,150
Other I.P.C.,3427,2636
